post_index,text,label
34,"The toll of Bozeman’s housing crisis

At the small city’s only emergency shelter, demand is higher and the work is harder than ever.

www.hcn.org/issues/57-5/...",likely-panic-language
35,I was hoping we could shelter in place but at this rate we will probably be locked up in work camps before we can build resources to flee the country 😢,[]
36,Teachers have litter in their classrooms in case there is an active shooter and they are forced to shelter in place for a long ton.,[]
37,"⚠ EMERGENCY ALERT ⚠
THIS IS AN ALERT FROM THE 'MJF' ADVISORY SYSTEM
THIS IS NOT A TEST
PLEASE TAKE SHELTER AND PREPARE ACCORDINGLY",likely-panic-language
38,"Sadly no, he was in the emergency shelter waiting line for the bathroom while coughing ominously. Didn't even get a speaking bit 😅",[]
39,"the wellington region emergency management office did issue a ""shelter indoors"" advisement on may 1st...",[]
40,"Make a donation to a shelter, set up a narcan fund at a church or other semi-public organization, or offer to supply owners of convenience or gas stations.

Less likely I will see an emergency while walking down the street.",[]
41,"We just updated our #Sudan Crisis Guide with the latest from the ground. This is the world’s largest and most dangerous humanitarian emergency. Behind the numbers are real people who need the world to pay attention.

Learn more and help Sudanese heroes: operationbrokensilence.org/blog/sudan-c...",likely-panic-language
42,Al-Hijri's statement highlights the dire situation faced by his community and emphasizes the need for urgent action from the international community to prevent further violence and protect civilians. He reiterated that his community seeks real participation and building a democratic federal,[]
43,"@ breaking news, urgent now 2025 @ democracy allies substack.com/@abbeyneedha...",likely-panic-language
44,"pan-pan is you have an urgent emergency, but not going down yet. 

Mayday is going down/threat to life.",likely-panic-language
45,"@ breaking news, urgent now 2025 @ Russia cult Project 2025 kidnapped usa immigrants www.youtube.com/live/sggw7U6...",likely-panic-language
46,"Kästner,A., Lücker, P., Fischer, L. et al. The urgent need for patients’ diagnoses and outcome feedback in Germany’s emergency medical services — insights from a web-based survey. BMC Emerg Med 25, 66 (2025). doi.org/10.1186/s128...",likely-panic-language
47,"Given the current global situation, there isn't enough panic at the NPT PrepCom. The general debate was full of excuses for proliferating nuclear weapons. But the majority of states pushed back on the lies and demanded urgent action to save us all. 📰: reachingcriticalwill.org/images/docum...",likely-panic-language
48,"70 percent of climate emissions can be attributed to 78 corporate & state producing entities. We know there is a crisis, and we know what’s driving it. We know that targeted, urgent action is necessary. But can’t we have beauty, too? 

~ Rebecca Deczynsk

open.substack.com/pub/thinking...",likely-panic-language
49,"Campaigners call for urgent action over unhealthy baby food

https://www.diningandcooking.com/2047769/campaigners-call-for-urgent-action-over-unhealthy-baby-food/

Getty Images Health organisations have urged the government to take immediate action to protect babies and children from …",[]
50,"@ breaking news, urgent now 2025 @ time to vote them russia cult Project 2025 out of office now replace with real truth Democracy Blue election now 2025, 2026 etc. future! youtu.be/92Ujti81QiI?...",likely-panic-language
51,"Tied-accommodation for seasonal agricultural workers was discussed in the Scottish Parliament today with the Housing Minister acknowledging the gap in oversight. 

Urgent action is now essential to close this loophole. 

@richardleonardmsp.bsky.social here has consistently raised this issue.",[]
52,"Jen Rubin and @klasfeldreports.com are going LIVE in 10 mins with breaking news

Subscribe for an email alert and tune in on Substack",likely-panic-language
53,"Me: just waking up. Hears the EAS.
Thinks wtf is that? Amber alert going off?

No, just the emergency alert test on b97.  Oh yeah. Lol forgot that was on.",likely-panic-language
54,The Civil Authorities have issued a Required Monthly Test for Hawaii beginning at 5:14 pm and ending at 6:14 pm. This is a coordinated test of the Emergency Alert System for broadcast stations in Hawaii. The regular monthly test of the Live Audio Broadcast Segment and All-Hazard Outdoor Warning Sir,likely-panic-language
55,"ALERT ALBERTAN TAXPAYERS! 
This is a MUST watch 3:47!
This is former AMA President and current Emergency Room Physician Paul Parks full statement from the launch of the gofundme supporting former AHS CEO Athana Mentzelopolous!
www.facebook.com/thebreakdown...",likely-panic-language
56,"The Civil Authorities have issued a Required Weekly Test for Oregon and Clark, WA beginning at 2:02 pm and ending at 5:02 pm. This is a test of the Emergency Alert System. This is only a test No action is needed. This is only a test.",likely-panic-language
57,"# LetsGoBucs EMERGENCY ALERT 🚨🚨🚨🚨🚨🚨 🚨🚨🚨🚨🚨🚨🚨Paul Skenes gives up three home runs
If they cannot count on him to shut down the opponent every five days this team is condemned to 110+ losses.",likely-panic-language
58,"British Columbia will be testing it's Emergency Alert System on Wednesday, May 7.

www.surreynowleader.com/news/bc-set-...",likely-panic-language
59,"The Civil Authorities have issued a Required Monthly Test for San Luis Obispo County, CA beginning at 1:46 pm and ending at 2:01 pm. This is the required monthly test of the San Luis Obispo County Emergency Alert System. This test is coming to you from the San Luis Obispo County Emergency Operation",likely-panic-language
60,"The Civil Authorities have issued a Required Weekly Test for Kitsap, WA, Island, WA, Jefferson, WA, Snohomish, WA, Pierce, WA, and King, WA beginning at 1:24 pm and ending at 1:54 pm. This is a test, only a test, of the Emergency Alert System, from the Snohomish County Department of Emergency Manag",likely-panic-language
61,"The Civil Authorities have issued a Required Weekly Test for Michigan beginning at 12:58 pm and ending at 1:58 pm. This is a required weekly test of the Emergency Alert System, originating from the Michigan State Police State Emergency Operations Center in Lansing. If this had been an actual emerge",likely-panic-language
62,My smart watch just flashed an emergency potential fall warning when the first goal sent in!,likely-panic-language
63,"and do we really think Trumpers will be able to admit Trump's fucked up enough to save themselves, or listen to a recall, or take a vaccine, or listen to medical advice, or evacuate on a warning? do we really think these people have the longevity to survive a government that's trying to kill them?3/",likely-panic-language
64,"“We seem to be facing the destruction of the United States. I don’t see anyone articulating that this is an attack on what it means to be American, on the very idea of America, and it’s an emergency.”  

Yale fascism researcher, Jason Stanley offers a parting warning as he relocates to Canada.",likely-panic-language
65,"🚨 Must-Watch: Illinois Governor J.B. Pritzker issues a stark warning on CNN about the rise of authoritarianism in America. He reminds us: it took the Nazis just one month to dismantle Germany’s Republic. 
Democracy is fragile—we must act now to defend it! Stand up and speak out!",likely-panic-language
66,"The warning came less than three hours after a state of emergency was declared for Christchurch and Banks Peninsula as rain continued to fall across the region and Selwyn District.

The resulting floodwaters have closed roads, forced evacuations and seen many schools shut for the day.",likely-panic-language
67,"📢 Emergency services are still warning residents to to be ""extra careful"" in extreme conditions.",likely-panic-language
68,"The blackout in Spain which caused a state of emergency serves as a reminder for Australia to make its renewable energy system secure and resilient. 

Spain's blackout a warning Australia can't ignore 
~ Paul Budde

independentaustralia.net/environment/...",likely-panic-language
69,The Civil Authorities have issued a Practice/Demo Warning for New Hampshire beginning at 2:23 am and ending at 3:23 am. The New Hampshire State Police has activated the New Hampshire Emergency Alert System in order to conduct a practice demo. This concludes this test of the New Hampshire Emergency,likely-panic-language
70,"WARNING:
This week Trump said he can declare a State of Emergency because of the Tariff problems.
That will lead to him having MORE POWER THAN EVER!
Every cowardly evil GOP & useless Dem needs to be held accountable for allowing this lunatic to continue this MESS!!!",likely-panic-language
71,"China’s economic emergency—marked by falling manufacturing, home sales, and banking stress—is a global warning. Similar red flags in the U.S. suggest a broader recession may be unfolding soon.",likely-panic-language
72,"I'm not sure if it's catharsis, but as a parent I don't think I've ever tried to get my kids to obey without understanding unless it's a literal emergency - moving away from danger or something. And I *know* my mom read books and took classes. We all can only do our best, is how I cope with it now",likely-panic-language
73,"“911 is a joke”-Flavor Flav 
For many immigrants, calling for help can bring danger instead of safety,turning the idea of “emergency response” into a threat. When police are racist, they don’t just fail the people,they endanger lives, deepen injustice, erode the very foundation of democracy.",likely-panic-language
74,"#ResignPete
#RememberEveryoneDeployed
Mr Dust on my boots & Capt Bone spurs are putting the USA in danger These two boys are putting US in danger tweeting threats❗️ Foreign policy by tweet⁉️ 
Imho the donald will declare a National Emergency & we will have military troops on the streets❗️👀⏳⚖️ 🇺🇸",likely-panic-language
75,"this may be the danger of doing abstract metaphor-heavy works which manifest something between the creator and the audience as both bring their own baggage into the experience but then he pulls the emergency brake and says plainly ""fix your hearts or die""",likely-panic-language
76,"“May Day has two meanings, both of which are directly applicable to today. It commemorates the solidarity of the labor movement (139 years ago today…

“Mayday!” is also a distress signal used by pilots to indicate imminent danger or a life-threatening emergency…”

open.substack.com/pub/robertre...",likely-panic-language
77,"“Mayday!” is also a distress signal used by pilots to indicate imminent danger or a life-threatening emergency (derived from the French phrase “m’aider,” meaning “help me”).

That about sums it up: Our solidarity is necessary to overcome the imminent dangers we now face — all from Donald J. Trump.”",likely-panic-language
78,"trump is a clear and present danger to the US. He, his MAGAts, his cabinet, vance, musk, and his MAGAt congress members are domestic terrorists that need to be removed from the White House. We, the people, must act NOW to save Democracy in the US. We can do this!! We are the many, they are the few!!",likely-panic-language
79,"I am now in emergency need of $300 for bills! My car insurance has lapsed and my storage unit with all my belongings is in danger of being sold. Please help by buying something from my ko-fi, donating, or sharing if you can't 🙏🏻 everything helps!",likely-panic-language
80,"“Mayday!”...a distress signal used by pilots to indicate imminent danger or a life-threatening emergency (derived from the French phrase “m’aider,” meaning “help me”).

That about sums it up: Our solidarity is necessary to overcome the imminent dangers we now face — all from Donald J. Trump.""",likely-panic-language
81,"Trump and his administration of grifting enablers are a danger to life on Earth #climate #environment 
www.theguardian.com/environment/...",[]
82,"May 1st is May Day, where people in Europe welcome the summer season. Let's hope no emergencies and/or SOSs are taking place, otherwise that would be disasterous.
#May1st #MayDay #MayDay2025 #Summer #Europe #festival #emergency #sos #disaster #disasterous #pun #joke #cringe #daft",likely-panic-language
83,Yes but having an emergency food supply sufficient for your home and ideally to help your neighbors makes you much more capable of responding thoughtfully as part of the community to a broader disaster,likely-panic-language
84,"Trump and DOGE's recent dismantling of AmeriCorps has had a profound effect on community safety and resilience, particularly in disaster-prone areas.​

These cuts hit home for me and have affected many of my AmeriCorps/CERT (Community Emergency Response Team)...

1/
apnews.com/article/amer...",likely-panic-language
85,"Was on a call with emergency management experts in the US last night, and the consensus regarding the preposed FEMA changes is that we're all going to do a lot of collective Finding Out after the next big natural disaster.",likely-panic-language
86,"Interested in learning about emergency response coordination and equitable recovery efforts?

Tune in to @milkeninstitute.org's Disaster Preparedness and Community Resilience panel on Monday, May 5, at 2:50 PM PDT at: milkeninstitute.org/content-hub/... 

Speakers include our CEO, Don Howard.",likely-panic-language
87,NO! I have a degree in emergency management & this is a DISASTER. We need help from outside our jurisdiction!,likely-panic-language
88,"Really is that easy, Socialism is an emergency response to a disaster like wild fires and hurricanes.

Capitalism is refusing to all systems to function to reward the top 1% with a massive tax cut…..

A government who ignores the people do not deserve tax revenues from the people.",likely-panic-language
89,"I donate to “ActBlue”, but am disappointed that billboards across the state are not displaying how Republicans proposed $0 for emergency management and disaster relief for FEMA

BUT included $300 million SO TRUMP CAN PLAY GOLF. 

This is especially importing Jack Bergman’s district 1.",likely-panic-language
90,"Republican bill proposes $0 for emergency management and disaster relief for FEMA,
BUT DOES include $300 million SO TRUMP CAN PLAY GOLF. 

Why isn’t this on billboards all over the state, especially in the ice storm damaged areas?",likely-panic-language
91,"The latest Republican bill proposes $0 for emergency management and disaster relief for FEMA, 
BUT DOES include $300 million SO TRUMP CAN PLAY GOLF. 

Why isn’t this on billboards all over Northern Michigan?

Bergman voted for this. This is good ammo for a recall.",likely-panic-language
92,"Mesdames et Messieurs, (BREAKING NEWS)

It's an honor to vous présenter the beloved #BroDex, #Kadena's first ever order book based #dex prompted by #pact.

Please check it out: dex.bro.pink

$bro #theBrothersDao #inBrothersVeritas $kda #kadena $flux $herons @kadena-io",likely-panic-language
93,"Breaking News: Local Half-Orc 'Foghorn' physically overpowered by an Elf with 8 Strength.

Thank you for the Raid - @ladyaranea.bsky.social, @nattzz.bsky.social

www.twitch.tv/videos/24476...

#baldursgate3 #bg3 #dnd #larianstudios",[]
94,"BREAKING NEWS!

Mike Waltz, the man who accidentally added Jeffrey
Goldberg to Pete Hegseth's signal chat is OUT as Trump's national security adviser. Pete Hegseth should be next!",likely-panic-language
95,Breaking News!,[]
96,BREAKING NEWS: Taijuan Walker's uniform is dirtier than Bryson Stott's.,likely-panic-language
97,"Breaking news I have a website 

It doesn’t look good on phones yet 

I will figure that bit out later 

But also check out the new logo 

Woohoo

kazmichael.wixsite.com/my-site-1",[]
98,"BREAKING NEWS!

TRUMP JUDGE JUST SAID USE OF THE ENEMY ALIEN ACT TO DEPORT PEOPLE IS UNLAWFUL!

youtu.be/p-tSrb232eE?...",likely-panic-language
99,"Breaking News! Negotiations for today's 1st trade deal have apparently fallen through. When DJT asked if he were the King of the world, the penguins laughingly answered, GO FISH! We lost trillions on the best trade deal ever. As the saying goes "" A fish rots from the head.""",likely-panic-language
100,"Breaking news, Scientists have finally figured this one out.
youtube.com/shorts/BKQww...",[]
